External0 00001.wav,啊
External0 00002.wav,是有钱到了，从来不用省一些小钱的地步吗？
External0 00003.wav,
External0 00004.wav,璃月港里的凡人时常会将契约抛之脑后，又极善混淆黑白。
External0 00005.wav,怎么办？
External0 00006.wav,让我真的有点好奇了。
External0 00007.wav,这些回报里好像根本不包括好吃的东西啊。
External0 00008.wav,噢对了。听说他对历史研究很感兴趣。
External0 00009.wav,那钟礼先生的意见呢，这些叶博时该怎么选？
External0 00010.wav,那么回答我的问题吧，你们为什么要偷走天空之琴？
External0 00011.wav,对吧对吧？李粤港的美食可是城市的神髓。
External0 00012.wav,他读的懂吗？话说这个真的是提瓦特通用语吗？
External0 00013.wav,唉算了。看来他这边问不出什么。我们走吧。
External0 00014.wav,毕竟他们大概只会把书本点着来取暖。
External0 00015.wav,这可是吟游诗人的小秘密。呵呵。
External0 00016.wav,居然坏了。
External0 00017.wav,只是挑了个可以安安静静看戏的好位置而已。
External0 00018.wav,难道又是那些蜘蛛网，我们去周围看看吧。
External0 00019.wav,嗯
External0 00020.wav,唉蒋振。她出手可比你阔绰不少呢？
External0 00021.wav,好勒。顺利通过。
External0 00022.wav,又跑掉了。
External0 00023.wav,
External0 00024.wav,500年前的一场大灾之后，他就断绝了和我的一切交流。
External0 00025.wav,且看踏风纵云的本领。
External0 00026.wav,旅行者。你见过塞西利亚花吗？那是一种只在安静的山崖顶上默默绽放的白色野花。在我心里他就是全体瓦特最美的花。
External0 00027.wav,没想到蒙德这种地方，居然也有人三套书中的秘密。
External0 00028.wav,这世上之人皆为其子。
External0 00029.wav,那么这个就交给你了。这是我临时写的。
External0 00030.wav,裸子叉气了。
External0 00031.wav,不不不有鸽子吗？不对了，是我饿了嗯。现在我要抽一位旅行者来为我做一份蜜椒胡萝卜煎肉，到底是哪位旅行者这么幸运呢？
External0 00032.wav,希望他一切安全。
External0 00033.wav,
External0 00034.wav,都是什么样的委托？
External0 00035.wav,说起来是什么任务来着？
External0 00036.wav,嗯天晴了吗？是什么时候？
External0 00037.wav,太谢谢你们了。之后也欢迎你们常来啊。
External0 00038.wav,不过我们这边也不是那么好骗的。
External0 00039.wav,耶。
External0 00040.wav,放心吧，求求人而已。旅行者很能打的。
External0 00041.wav,这应该算是这次行动中唯一出乎我意料的地方了。
External0 00042.wav,嗯本来还想见识一下的，对了，你的哥哥也有幻想朋友吗？
External0 00043.wav,呃
External0 00044.wav,如果能找到足够厉害的东西证明自己，家里说不定就会支持我做冒险家了。
External0 00045.wav,
External0 00046.wav,我越来越觉得婆婆就是一位先生了。
External0 00047.wav,那还真是了不起。
External0 00048.wav,嗯
External0 00049.wav,唉呀这两个孩子怎么这么能跑？
External0 00050.wav,想切磋的话，我随时奉陪。
External0 00051.wav,解释起来挺复杂，用装饰品的说法大家都容易理解。
External0 00052.wav,啊就是这个这就是我想要的。
External0 00053.wav, Yeah Yeah, you can cook them in your pet.
External0 00054.wav,所以这一次醒来，他的精神才会被深渊法师的诅咒腐蚀。
External0 00055.wav,这人真的脑子不清楚啊。
